speno,standardlength_cm,curvilinearlength_cm,standardsupinelength_cm,hipgirth_cm,maxgirth_cm,axillarygirth_cm,mass_kg,blubberthickness_cm,blubberdepthrightlateralhipa,blubberdepthrightlateralhipb,blubberdepthdorsalhipa_cm,blubberdepthdorsalhipb_cm,blubberdepthdorsalaxillarya,blubberdepthdorsalaxillaryb,blubberdepthlateralaxillarya,blubberdepthlateralaxillaryb,condition,morphometriccomments
EB1991_129,NA,NA,NA,NA,170,144,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_158,NA,NA,NA,NA,144,130,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV2002_001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_1868,NA,NA,NA,NA,157.8,133.6,214,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV2002_011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_251,NA,NA,NA,NA,162,140,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_258,NA,NA,NA,NA,170,160,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_264,NA,NA,NA,NA,170,140,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_143,NA,NA,NA,NA,129,117,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_65,NA,NA,NA,NA,160,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2004_5948,155,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL1991_17,NA,NA,NA,NA,116,102,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_88,NA,NA,NA,NA,158,154,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_1,NA,NA,NA,NA,102,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_10,NA,NA,NA,NA,118,118,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_11,NA,NA,NA,NA,114,114,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_12,NA,NA,NA,NA,113,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_13,NA,NA,NA,NA,NA,120,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_14,NA,NA,NA,NA,NA,117.5,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_15,NA,NA,NA,NA,NA,111,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_16,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_17,NA,NA,NA,NA,NA,165.5,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_18,NA,NA,NA,NA,NA,107,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_103,NA,NA,NA,NA,157,139,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_11,NA,NA,NA,NA,166.8,148.6,237.5,3.8,NA,NA,NA,NA,NA,NA,NA,NA,excellent,NA
EB2005_5954,142,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2005_5956,143,151,NA,NA,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2005_5957,141,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2005_5958,129,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2005_5959,149,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2005_5960,134,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2005_5962,135,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2006_5941,136,150,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2006_5942,144,164,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2006_5943,151,163,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2006_5944,139,158,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2006_5945,134,145,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2006_5947,148,150,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2011_3002,176,190,NA,NA,143,123,157.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_123,NA,NA,NA,NA,161,150,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_1013,NA,NA,NA,NA,NA,NA,146.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_102,NA,NA,NA,NA,175,148,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB1991_149,NA,NA,NA,NA,160,139,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_19,NA,NA,NA,NA,NA,120,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_2,NA,NA,NA,NA,107,105,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_20,NA,NA,NA,NA,NA,113,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_21,NA,NA,NA,NA,NA,120,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_22,NA,NA,NA,NA,NA,110,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_23,NA,NA,NA,NA,NA,118,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_24,NA,NA,NA,NA,NA,114,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_25,NA,NA,NA,NA,115,115,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_26,NA,NA,NA,NA,130,128,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_35,NA,NA,NA,NA,115,110,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_36,NA,NA,NA,NA,122,123,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_37,NA,NA,NA,NA,114,110,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_38,NA,NA,NA,NA,129,122,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_39,NA,NA,NA,NA,98,98,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_4,NA,NA,NA,NA,111,111,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_40,NA,NA,NA,NA,100,100,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_41,NA,NA,NA,NA,NA,101,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_42,NA,NA,NA,NA,110,100,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_43,NA,NA,NA,NA,114,113,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_44,NA,NA,NA,NA,75,72,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_45,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_46,NA,NA,NA,NA,121,128,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_47,NA,NA,NA,NA,100,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_5,NA,NA,NA,NA,115,115,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HF1991_59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
